ep,loss,ret_start,steps_mean,succ_stab,succ_speed,succ_both,abs_err_mean,vy_lo_raw_mean,f_in_mean,stance_time_mean,flight_time_mean,l_min_mean,step_length_mean,E_apex_end_mean,reasons_top
1,-0.5554187988241513,0.6098781841108576,8.7,0.03333333333333333,0.5,0.0,1.4856495886826933,1.0358175451033915,477.86813259060165,0.13720634559884567,0.1093677080327081,0.9142715777851897,0.7352910910326352,1028.5499015451296,"fall_before_apex:29, success:1"
2,-1.0877112676699956,0.7570493565872312,9.166666666666666,0.03333333333333333,0.6333333333333333,0.03333333333333333,1.0142995010923797,0.7771403032510301,370.2751665936461,0.1376639410126911,0.08478322293447299,0.9231393338630605,0.7348102597496454,1017.0033339821973,"fall_before_apex:29, success:1"
3,-1.3190178389350573,0.7725124602826933,9.033333333333333,0.0,0.6,0.0,1.0397736735531815,0.8238373434046766,445.6745771842491,0.13558114495640822,0.08853151286335502,0.9242578983934298,0.7502615607704378,1008.7484276843312,fall_before_apex:30
4,-0.7957923794786136,1.0023098072657983,6.933333333333334,0.03333333333333333,0.8333333333333334,0.03333333333333333,0.5577896528403394,0.610150536118431,398.618905457873,0.13571346503399143,0.06575859806859813,0.9338193934652003,0.7139834683564782,991.0690385326967,"fall_before_apex:29, success:1"
5,-1.6633144482970237,0.8444781543066104,9.566666666666666,0.13333333333333333,0.6333333333333333,0.13333333333333333,1.117214253041418,0.9865987744225416,509.4566958485359,0.1383500871459696,0.10564069794584506,0.9162752222569645,0.8549516134199421,1040.6841320924714,"fall_before_apex:26, success:4"
6,-1.7257673693820834,0.5427146011342605,10.233333333333333,0.13333333333333333,0.43333333333333335,0.06666666666666667,1.6780871279775584,1.0642578787370145,470.79540068660197,0.13629044492544504,0.11390742254477555,0.910440088155325,0.7709063746411068,1038.6976558496037,"fall_before_apex:26, success:4"
7,-4.763711979240179,0.20757589613397917,11.733333333333333,0.13333333333333333,0.3,0.13333333333333333,2.2489312378183586,1.1167522087540753,466.75196617355397,0.13092665761254005,0.11847456384574039,0.9065553177266048,0.7177968356237773,1046.7720509034148,"fall_before_apex:26, success:4"
8,-3.1154304328064124,0.7063601771990459,9.5,0.03333333333333333,0.6,0.03333333333333333,1.067021539091482,0.8953021480965461,438.8989108477366,0.13826390493221385,0.09538652946182363,0.9190182517957318,0.7913682830709591,1009.1914584157422,"fall_before_apex:29, success:1"
9,-3.6557964608073235,0.5473809482374539,11.2,0.2,0.4,0.16666666666666666,1.4966223890629422,1.2364420614645646,490.07203053041144,0.14474450503200514,0.1340251394901396,0.9020057228603384,0.9032783168563709,1037.4682373820049,"fall_before_apex:24, success:6"
10,-4.554700610910853,0.2402592087785403,8.933333333333334,0.06666666666666667,0.36666666666666664,0.06666666666666667,2.098618104438036,1.059829110264238,456.8859975521105,0.13290970842510325,0.1158197924687399,0.9084148481994228,0.6892708569482637,1019.1938849194775,"fall_before_apex:28, success:2"
11,-2.2706247416635352,0.7954183710118135,8.366666666666667,0.06666666666666667,0.6333333333333333,0.06666666666666667,0.956496432955563,0.8222868493259399,442.9950251731835,0.1375176522709031,0.08821356036407124,0.9234668590374592,0.760122398193937,1008.0116771853249,"fall_before_apex:28, success:2"
12,-2.621502913037936,0.829603769381841,9.7,0.13333333333333333,0.5,0.1,1.088536833169495,0.9418019211878299,486.03405338138066,0.13713689810189822,0.10033178343586245,0.9185058802918422,0.828030793503967,1036.5550018403742,"fall_before_apex:26, success:4"
13,-3.289194518948595,0.6746544020871321,10.666666666666666,0.13333333333333333,0.5333333333333333,0.06666666666666667,1.2657401675976614,0.8991940716750935,421.4195376906525,0.13752222883597892,0.09639754629629636,0.9175229923061116,0.7813267403895128,1029.8161855000262,"fall_before_apex:26, success:4"
14,-3.958482003211975,0.6284911289811135,9.933333333333334,0.06666666666666667,0.4666666666666667,0.0,1.335325741500598,0.8635478669748445,424.92346569473943,0.13345515947015954,0.09192610833610841,0.9201868116742095,0.7519635040338433,1006.4833214484526,"fall_before_apex:28, success:2"
15,-5.17291962535431,0.2258236002177,8.7,0.0,0.3333333333333333,0.0,2.0160999951262193,1.1429740651067708,489.33539600427304,0.13535922420172428,0.12314090270840279,0.9057139968490954,0.7528977694554845,1027.2310197071854,fall_before_apex:30
16,-3.478047122247517,0.4887260681639115,10.466666666666667,0.1,0.36666666666666664,0.06666666666666667,1.711748391153796,1.1390616612842837,491.21517896370455,0.13618151228401235,0.12061012089762098,0.9071651277490462,0.828910275372871,1045.2589882428306,"fall_before_apex:27, success:3"
17,-3.3938622092207273,0.6722029983997345,9.266666666666667,0.1,0.5,0.06666666666666667,1.220311506441141,0.9622271908722678,437.94056528152663,0.14112921957671967,0.10359435846560856,0.9148881503828286,0.7985030405572663,1017.1753804493969,"fall_before_apex:27, success:3"
18,-2.770987912019094,0.7832692606995503,9.166666666666666,0.06666666666666667,0.5666666666666667,0.0,1.1502277860103463,0.910117227789398,445.80896753127024,0.13870732091982105,0.09830645095645102,0.9185507757745073,0.8087564182279685,1034.8337702775798,"fall_before_apex:28, success:2"
19,-4.295263923207918,0.4149041046698888,10.933333333333334,0.13333333333333333,0.36666666666666664,0.13333333333333333,1.6600751162134852,1.2286016737491983,503.46170020973307,0.14057678783906732,0.1322950003291916,0.9025806646437113,0.8570801805691936,1042.7282477895656,"fall_before_apex:26, success:4"
20,-6.251202171295882,0.3449393483499686,10.366666666666667,0.0,0.3333333333333333,0.0,1.7704154007074597,1.1509385708203006,483.54536895927026,0.13897473059033053,0.12297578473054874,0.90600086367217,0.802549354432649,1030.0154210941523,fall_before_apex:30
